"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",369.451230419463,381.468791947987,402.086421380872,410.960594441275,438.602157236577
"300","all-in-one",458.070323318792,458.377157234899,464.678310097315,476.967953018456,482.397326088926
"300","by-stack",402.636577177852,406.593252635906,418.365384309564,438.132646211409,445.017239932886
"300","by-dependencies",404.629977629195,415.519405825503,423.205446362416,427.595254075503,432.760696308725
"2400","benchmark",263.155998322148,269.937205387205,304.577955790783,340.36740172651,377.704272064081
"2400","all-in-one",318.799180924115,354.440303541315,385.592331165261,407.795832328836,446.226596001686
"2400","by-stack",301.596565063758,316.659521812081,361.725524445583,367.07665622597,380.316077441077
"2400","by-dependencies",305.171140937919,312.07938912963,337.648299790078,356.966285232715,357.057454459732
"4500","benchmark",187.548825505034,196.768403361345,218.821101693554,236.188235294118,251.291773067454
"4500","all-in-one",340.876053962901,340.876053962901,342.399222408938,350.554794026981,352.167646352445
"4500","by-stack",261.197170694772,261.197170694772,274.552605795953,277.320576230252,277.320576230252
"4500","by-dependencies",215.730756302521,227.906106443697,238.344597839496,258.279266538591,286.170637583893
