"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",501.399296713503,535.608906756395,547.084048122715,576.889680894082,593.429969616424
"300","all-in-one",456.445031849303,461.587754258452,473.660709126483,479.980926450041,480.748897413722
"300","by-stack",494.591863971862,501.993392433924,525.520743919142,540.694315933955,546.510866641124
"300","by-dependencies",507.723654398448,514.114275179179,520.335751545402,529.091959969669,542.103692917526
"2400","benchmark",4542.21633067262,5031.53747195501,5597.20012253916,6276.02733702808,6474.73359438714
"2400","all-in-one",3871.745688098,4212.9413094383,4446.857630943,4826.34720730023,5340.26930176607
"2400","by-stack",4514.42140319139,4658.65277090438,4723.41123605053,5370.52488596309,5653.73035572907
"2400","by-dependencies",4763.12762380652,4799.39015603477,5071.98894182951,5458.31850906144,5588.10872655989
"4500","benchmark",11976.5674054292,12539.7444581303,13922.1658210238,15755.5580213389,16907.2726151319
"4500","all-in-one",9136.98709633702,9136.98709633702,9218.42596398763,9274.07301218305,9274.07301218305
"4500","by-stack",10238.4080056106,10285.4305505114,11481.9243898673,11962.3363517297,11962.3363517297
"4500","by-dependencies",10905.4650086512,11620.5039601575,13430.6734824164,13853.5566983765,14375.3222133958
