"workload","scenario","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
300,"all-in-one",180,260,355,445,660,945,1600
300,"benchmark",350,590,825,890,1150,1300,1700
300,"by-dependencies",235,350,535,675,975,1200,1800
300,"by-stack",220,340,505,650,985,1200,1800
2400,"all-in-one",420,4200,5250,5750,7450,9600,23500
2400,"benchmark",1700,6300,8750,10000,13500,15000,19500
2400,"by-dependencies",275,3800,6800,8950,16000,20500,27500
2400,"by-stack",580,4600,7150,8800,11000,14000,21500
4500,"all-in-one",220,6850,8000,8800,13000,49000,56500
4500,"benchmark",3600,12000,16500,20000,32500,50500,93000
4500,"by-dependencies",525,6450,11000,15500,35000,58500,60000
4500,"by-stack",1250,8200,11500,13000,25000,55500,60000
