"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",488.879430360233,524.688217960147,534.02715799144,554.768690511478,567.274220917845
"300","all-in-one",283.989172157217,285.917752686825,288.601136152893,292.472631846381,292.747669424722
"300","by-stack",373.247394079482,373.247394079482,377.023718058369,382.130842632567,384.171283312459
"300","by-dependencies",329.100300608549,369.226394461619,380.922533459202,397.790028230903,404.321845084248
"2400","benchmark",4310.2137243534,4337.16988432764,4900.21816620719,5193.3843808308,5459.16493156118
"2400","all-in-one",2781.94666954635,2959.57237437975,3146.07485353468,3688.26505326981,4381.79324241572
"2400","by-stack",3701.80326474372,3720.99231377511,3750.22578194387,4022.54534215501,4228.48215751835
"2400","by-dependencies",3407.7809879685,3941.82908084616,4544.10815435176,4832.57053743461,4832.57053743461
"4500","benchmark",11175.6738498348,11393.7541778603,12063.1218563334,12518.8338531661,13325.7473145963
"4500","all-in-one",6510.95699130044,6652.89701706494,7166.8200099878,7310.77346038296,8156.8151526803
"4500","by-stack",8263.55741367724,8469.9638044336,8742.9585921714,9006.79627151232,9006.79627151232
"4500","by-dependencies",9140.07022033685,9140.07022033685,9413.64543588707,9437.60988651813,9437.60988651813
