"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0.00201342281879195,0.00503355704697987,0.00704697986577181,0.00704697986577181,0.00704697986577181
"300","all-in-one",0.00788590604026846,0.00956375838926174,0.0114093959731544,0.0187919463087248,0.0266778523489933
"300","by-stack",0.0206375838926174,0.0213087248322148,0.024748322147651,0.0432885906040269,0.0434563758389262
"300","by-dependencies",0.0156040268456376,0.0167785234899329,0.0200503355704698,0.0281879194630872,0.0390939597315436
"2400","benchmark",0.147315436241611,0.224328859060403,2.05655946897246,6.05817875210793,11.6807757166948
"2400","all-in-one",0.146801346801347,0.149326599326599,0.162794612794613,1.16424957841484,1.40808080808081
"2400","by-stack",0.0873524451939292,0.098993288590604,0.114867243115995,0.13003355704698,0.134401349072513
"2400","by-dependencies",0.112919463087248,0.128619528619529,0.131036590196589,0.200505902192243,0.200505902192243
"4500","benchmark",17.5463743676223,18.0268907563025,18.8732790114359,19.9870151770658,21.3598319327731
"4500","all-in-one",2.14612794612795,2.20572390572391,2.40850168350168,2.57474747474747,2.57474747474747
"4500","by-stack",18.740404040404,18.740404040404,19.8734848484848,21.347138047138,23.2421585160202
"4500","by-dependencies",10.6590219224283,16.3888888888889,18.111195568662,29.9496644295302,30.2197986577181
