"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",387.085222916107,395.320302013423,411.565431582215,419.142281879195,449.860458612416
"300","all-in-one",750.636786912752,750.997994565436,760.253585411074,768.047734899329,773.951677852349
"300","by-stack",570.171164911074,575.126929530201,581.154052812919,588.079254550336,588.079254550336
"300","by-dependencies",542.145581654362,549.543736018456,576.24404961745,594.418911793624,594.418911793624
"2400","benchmark",313.676897133221,332.41673693086,354.808057137359,400.678116011745,405.077528763423
"2400","all-in-one",394.002501200337,470.414590348485,554.526266635522,588.956102693603,628.432251264755
"2400","by-stack",411.634710512648,430.945910623946,464.025440436242,465.576487591906,467.786445350671
"2400","by-dependencies",261.217706576729,357.729335016835,380.546473162187,440.517389743289,509.927862094435
"4500","benchmark",233.249313418212,243.788823529412,249.144619771501,251.100098040336,251.100098040336
"4500","all-in-one",387.684974747475,433.119191922559,442.493013468013,477.588359786195,488.835269360269
"4500","by-stack",325.829366419899,350.939047888889,364.76555378454,370.821693121212,384.55664983165
"4500","by-dependencies",309.284806397306,335.648695286195,339.091095397651,355.827504793624,376.263322091062
