"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",488.560910957081,524.295991138388,533.749301969475,554.506283402551,567.310913421067
"300","all-in-one",283.944554040052,285.801023819562,288.584726031362,292.332783072942,292.592406786168
"300","by-stack",373.257149908217,373.257149908217,377.054445778599,382.130842632567,384.171283312459
"300","by-dependencies",329.154106203157,369.255964098399,381.006987613929,397.911990356409,404.337915511316
"2400","benchmark",4310.2137243534,4336.85345672783,4896.85903507414,5175.94665437368,5448.2900408086
"2400","all-in-one",2777.88494740565,2954.37687405041,3142.08657775839,3683.94742972267,4378.29226186278
"2400","by-stack",3701.80326474372,3712.15318563583,3750.22578194387,4017.81169481903,4223.43102102571
"2400","by-dependencies",3395.06497020444,3941.82908084616,4541.35028499325,4825.86027009516,4825.86027009516
"4500","benchmark",11182.4337865661,11409.7454087825,11943.8060245021,12307.4041765035,13324.9860362351
"4500","all-in-one",6500.67894850103,6644.55622979016,7159.6466353732,7305.33186885419,8134.5826407929
"4500","by-stack",8244.23700393202,8442.21426997795,8726.56927128847,8991.3656322577,8991.3656322577
"4500","by-dependencies",9140.07022033685,9140.07022033685,9407.21889820386,9432.33445187723,9432.33445187723
