"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",2.55,2.81,2.97,3.05,3.36
"300","all-in-one",2.8,3.01,3.14,3.18,3.41
"300","by-stack",2.44,2.72,2.915,3.02,3.41
"300","by-dependencies",2.54,2.83,3.015,3.08,3.44
"2400","benchmark",2.74,2.92,3.25,3.43,3.55
"2400","all-in-one",2.52,3.04,3.35,3.48,3.7
"2400","by-stack",2.84,3.2,3.41,3.56,3.63
"2400","by-dependencies",2.65,3.02,3.3,3.42,3.59
"4500","benchmark",0.0322,0.233,2.405,3.26,3.59
"4500","all-in-one",2.53,3.13,3.605,3.65,3.8
"4500","by-stack",0.0401,0.989,2.815,3.48,3.63
"4500","by-dependencies",0.0341,0.0675,2.46,3.33,3.64
