"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",1.78125,45.8125,163.73828125,219.2734375,373.9375
"300","all-in-one",2.99609375,51.859375,98.68359375,105.66015625,123.15234375
"300","by-stack",2.09375,32.5703125,133.11328125,162.3125,188.859375
"300","by-dependencies",3.0859375,31.0625,141.580078125,204.80859375,247.96484375
"2400","benchmark",2.125,63.953125,180.166015625,239.30078125,405.04296875
"2400","all-in-one",0.9609375,55.3984375,114.029296875,139.85546875,167.22265625
"2400","by-stack",1.2421875,38.54296875,140.03515625,195.63671875,240.94140625
"2400","by-dependencies",1.7421875,63.453125,183.3125,256.9375,422.61328125
"4500","benchmark",2.34765625,35.83203125,100.185546875,137.6796875,206.3125
"4500","all-in-one",1.98828125,48.421875,124.41796875,151.51171875,183.12890625
"4500","by-stack",1.953125,44.76953125,122.158203125,164.11328125,244.390625
"4500","by-dependencies",2.76953125,48.0625,120.564453125,165.8984375,200.72265625
