"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",2.04594421386719,2.29691696166992,2.41840171813965,2.47454452514648,2.58417510986328
"300","all-in-one",1.93233108520508,2.15354919433594,2.24917221069336,2.32326126098633,2.44921493530273
"300","by-stack",1.83526992797852,2.20235824584961,2.38235473632812,2.4550666809082,2.53929138183594
"300","by-dependencies",2.06464767456055,2.28715515136719,2.41423797607422,2.47422790527344,2.53968811035156
"2400","benchmark",1.98175048828125,2.50706481933594,2.73999977111816,2.86234283447266,2.97845458984375
"2400","all-in-one",1.81634521484375,2.38430023193359,2.65128517150879,2.77960968017578,2.96814346313477
"2400","by-stack",1.8781623840332,2.43204498291016,2.70636558532715,2.80797958374023,2.89413452148438
"2400","by-dependencies",2.21297454833984,2.52641677856445,2.7403621673584,2.83126831054688,2.99079895019531
"4500","benchmark",1.90525436401367,2.70526885986328,3.0361385345459,3.55738067626953,4.16325759887695
"4500","all-in-one",1.83981704711914,2.5645637512207,2.85867500305176,3.27896881103516,4.13064193725586
"4500","by-stack",1.83965301513672,2.56321716308594,2.83632469177246,3.40699005126953,4.03555297851562
"4500","by-dependencies",1.84981918334961,2.66181564331055,2.88117027282715,3.21635437011719,3.63318252563477
