"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0.169,0.207,0.348,0.478,0.854
"300","benchmark",60,4.27,4.27,4.35,4.47,4.56
"300","benchmark",120,4.74,4.88,5.04,5.2,5.31
"300","benchmark",180,4.34,4.57,4.75,4.83,5.19
"300","benchmark",240,3.97,4.03,4.315,4.34,4.46
"300","benchmark",300,3.76,3.76,3.83,3.96,4
"300","benchmark",360,3.29,3.34,3.575,3.68,3.82
"300","benchmark",420,3.36,3.38,3.49,3.66,3.67
"300","benchmark",480,3.28,3.42,3.645,3.73,3.85
"300","benchmark",540,3.48,3.48,3.58,3.64,3.78
"300","benchmark",600,2.86,2.86,2.95,3.05,3.32
"300","all-in-one",0,0.0521,0.0614,0.185,0.42,0.455
"300","all-in-one",60,2.95,3.51,4.22,5.28,5.34
"300","all-in-one",120,5.3,5.3,5.38,5.73,5.98
"300","all-in-one",180,5.25,5.69,6.08,6.17,6.47
"300","all-in-one",240,5.06,5.29,5.82,5.98,6.02
"300","all-in-one",300,5.74,5.84,6.01,6.03,6.05
"300","all-in-one",360,5.67,5.83,5.87,5.95,5.99
"300","all-in-one",420,5.68,5.68,5.895,5.91,6.08
"300","all-in-one",480,5.48,5.54,5.815,5.9,5.91
"300","all-in-one",540,5.18,5.44,5.76,5.89,5.94
"300","all-in-one",600,4.2,4.92,5.12,5.44,5.77
"300","by-stack",0,0.0748,0.149,0.191,0.333,0.333
"300","by-stack",60,3.22,3.76,4.16,4.34,4.5
"300","by-stack",120,3.47,3.59,3.72,3.88,3.88
"300","by-stack",180,3.41,3.48,3.64,4.28,4.35
"300","by-stack",240,4.5,4.72,4.845,5.21,5.24
"300","by-stack",300,5.02,5.18,5.255,5.36,5.42
"300","by-stack",360,5.04,5.13,5.23,5.38,5.41
"300","by-stack",420,4.9,5.17,5.275,5.4,5.48
"300","by-stack",480,5.23,5.29,5.45,5.55,5.59
"300","by-stack",540,5.19,5.22,5.305,5.36,5.37
"300","by-stack",600,4.9,4.9,5.06,5.14,5.18
"300","by-dependencies",0,0.0524,0.0568,0.08045,0.114,0.17
"300","by-dependencies",60,3.19,3.66,3.915,4.08,4.15
"300","by-dependencies",120,3.44,4.11,4.525,4.67,5.03
"300","by-dependencies",180,3.75,3.86,3.92,4.08,4.25
"300","by-dependencies",240,3.94,4.11,4.22,4.41,4.41
"300","by-dependencies",300,4.47,4.55,4.705,4.85,4.85
"300","by-dependencies",360,4.73,4.93,5.05,5.1,5.1
"300","by-dependencies",420,5.11,5.15,5.225,5.72,5.73
"300","by-dependencies",480,4.88,5.06,5.16,5.3,5.3
