"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",2.45,3.36,3.71,4.34,5.31
"300","all-in-one",4.2,5.18,5.735,5.91,6.47
"300","by-stack",3.22,3.88,5.04,5.26,5.59
"300","by-dependencies",3.19,4.08,4.74,5.15,5.81
"2400","benchmark",3.62,4.13,4.47,5.12,6.16
"2400","all-in-one",3.89,4.86,5.38,5.89,7.19
"2400","by-stack",3.9,4.64,4.98,5.14,5.48
"2400","by-dependencies",3.29,4.13,4.635,5.2,6.34
"4500","benchmark",0.181,1.64,3.56,5.14,6.73
"4500","all-in-one",4.29,4.99,5.365,5.53,6.04
"4500","by-stack",3.12,4.37,4.91,5.23,6.26
"4500","by-dependencies",3.35,4.45,4.81,5.24,6.08
