"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",6.5,67.68359375,171.64453125,229.1640625,288.546875
"300","all-in-one",7.3515625,65.78125,181.330078125,216.53515625,235.8125
"300","by-stack",6.37890625,76.7890625,178.294921875,276.5,375.6640625
"300","by-dependencies",7.08984375,73.48046875,199.205078125,303.4765625,441.0703125
"2400","benchmark",10.3984375,81.4609375,190.39453125,276.94140625,397.40234375
"2400","all-in-one",12.0234375,80.96484375,197.00390625,267.19921875,389.32421875
"2400","by-stack",10.32421875,91.0234375,196.6953125,283.28515625,383.2890625
"2400","by-dependencies",13.44921875,95.96484375,209.998046875,301.21484375,453.046875
"4500","benchmark",20.1484375,95.73046875,171.78125,250.2265625,357.30859375
"4500","all-in-one",19.37890625,86.71484375,202.759765625,278.11328125,319.4921875
"4500","by-stack",14.20703125,81.3515625,188.71484375,285.63671875,471.6328125
"4500","by-dependencies",13.32421875,105.14453125,210.9375,303.59375,428.16796875
