"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",3.40138626098633,4.1129264831543,4.47077178955078,4.61030197143555,4.83143997192383
"300","all-in-one",3.30891036987305,3.63718414306641,3.84846115112305,3.92527770996094,4.02706146240234
"300","by-stack",2.81894302368164,3.66747665405273,4.17461776733398,4.24682998657227,4.48096084594727
"300","by-dependencies",2.9704704284668,3.63669204711914,4.0694694519043,4.28559875488281,4.60716247558594
"2400","benchmark",2.86687088012695,4.69258117675781,5.43790817260742,6.01965713500977,6.57168579101562
"2400","all-in-one",3.07556533813477,3.98128509521484,4.35615730285645,4.59627151489258,5.48574829101562
"2400","by-stack",3.10514450073242,4.08251571655273,4.62381553649902,4.75628280639648,4.9502067565918
"2400","by-dependencies",2.02963256835938,4.14134216308594,5.52996826171875,6.21696853637695,7.19610977172852
"4500","benchmark",2.14649200439453,5.12506103515625,6.35151672363281,7.13673782348633,8.11963272094727
"4500","all-in-one",3.55767822265625,4.20158004760742,4.64630317687988,4.76388931274414,4.96394348144531
"4500","by-stack",1.9999885559082,4.24075317382812,5.13058662414551,6.08337783813477,8.760986328125
"4500","by-dependencies",2.04011917114258,4.32650756835938,5.98089218139648,6.81900024414062,9.1190185546875
