"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",2.04594421386719,2.3009033203125,2.41929244995117,2.47539520263672,2.58417510986328
"300","all-in-one",1.95737075805664,2.16975402832031,2.25002098083496,2.32395172119141,2.45397567749023
"300","by-stack",1.88602447509766,2.22611618041992,2.38068199157715,2.45585632324219,2.53929138183594
"300","by-dependencies",2.06464767456055,2.28977203369141,2.42104911804199,2.46703338623047,2.53968811035156
"2400","benchmark",2.06139755249023,2.53451538085938,2.73979187011719,2.86188125610352,2.97845458984375
"2400","all-in-one",1.82754516601562,2.3970832824707,2.66031265258789,2.77960968017578,2.98802947998047
"2400","by-stack",1.9981803894043,2.48110580444336,2.70133972167969,2.80964279174805,2.90068817138672
"2400","by-dependencies",2.10937881469727,2.536376953125,2.73616790771484,2.82461166381836,2.99079895019531
"4500","benchmark",1.90525436401367,2.71059799194336,3.02823066711426,3.52508163452148,4.32798004150391
"4500","all-in-one",1.83981704711914,2.53447341918945,2.85867500305176,3.26728439331055,4.13064193725586
"4500","by-stack",1.83965301513672,2.58016967773438,2.8420467376709,3.4406623840332,4.03555297851562
"4500","by-dependencies",1.84981918334961,2.66181564331055,2.87955093383789,3.4090690612793,3.64730834960938
