sep=,
"Time","Total Cost"
2023-05-25 20:16:45,66.92
2023-05-25 20:17:00,123.70
2023-05-25 20:17:15,123.70
2023-05-25 20:17:30,123.70
2023-05-25 20:17:45,123.70
2023-05-25 20:18:00,118.49
2023-05-25 20:18:15,118.49
2023-05-25 20:18:30,118.49
2023-05-25 20:18:45,118.49
2023-05-25 20:19:00,122.46
2023-05-25 20:19:15,122.46
2023-05-25 20:19:30,122.46
2023-05-25 20:19:45,122.46
2023-05-25 20:20:00,117.36
2023-05-25 20:20:15,117.36
2023-05-25 20:20:30,117.36
2023-05-25 20:20:45,117.36
2023-05-25 20:21:00,116.99
2023-05-25 20:21:15,116.99
2023-05-25 20:21:30,116.99
2023-05-25 20:21:45,116.99
2023-05-25 20:22:00,119.46
2023-05-25 20:22:15,119.46
2023-05-25 20:22:30,119.46
2023-05-25 20:22:45,119.46
2023-05-25 20:23:00,121.45
2023-05-25 20:23:15,121.45
2023-05-25 20:23:30,121.45
2023-05-25 20:23:45,121.45
2023-05-25 20:24:00,125.10
2023-05-25 20:24:15,125.10
2023-05-25 20:24:30,125.10
2023-05-25 20:24:45,125.10
2023-05-25 20:25:00,121.97
2023-05-25 20:25:15,121.97
2023-05-25 20:25:30,121.97
2023-05-25 20:25:45,121.97
2023-05-25 20:26:00,120.58
2023-05-25 20:26:15,120.58
2023-05-25 20:26:30,120.58
2023-05-25 20:26:45,120.58

