sep=,
"Time","all-in-one"
2023-05-25 20:14:00,0.0365
2023-05-25 20:14:30,0.0534
2023-05-25 20:15:00,1.31
2023-05-25 20:15:30,3.59
2023-05-25 20:16:00,3.46
2023-05-25 20:16:30,3.37
2023-05-25 20:17:00,3.34
2023-05-25 20:17:30,3.53
2023-05-25 20:18:00,3.25
2023-05-25 20:18:30,2.87
2023-05-25 20:19:00,3.42
2023-05-25 20:19:30,3.29
2023-05-25 20:20:00,2.87
2023-05-25 20:20:30,3.36
2023-05-25 20:21:00,3.42
2023-05-25 20:21:30,3.13
2023-05-25 20:22:00,3.31
2023-05-25 20:22:30,3.51
2023-05-25 20:23:00,3.33
2023-05-25 20:23:30,3.26
2023-05-25 20:24:00,2.99

