sep=,
"Time","all-in-one"
2023-05-25 20:14:00,1950285824
2023-05-25 20:14:30,1962311680
2023-05-25 20:15:00,2176999424
2023-05-25 20:15:30,2411991040
2023-05-25 20:16:00,2480492544
2023-05-25 20:16:30,2507227136
2023-05-25 20:17:00,2632335360
2023-05-25 20:17:30,2692366336
2023-05-25 20:18:00,2715971584
2023-05-25 20:18:30,2789220352
2023-05-25 20:19:00,2839609344
2023-05-25 20:19:30,2865627136
2023-05-25 20:20:00,2914910208
2023-05-25 20:20:30,2922893312
2023-05-25 20:21:00,2925424640
2023-05-25 20:21:30,2948521984
2023-05-25 20:22:00,2953609216
2023-05-25 20:22:30,2958225408
2023-05-25 20:23:00,2969067520
2023-05-25 20:23:30,2931208192
2023-05-25 20:24:00,2951634944

