sep=,
"Time","Total Cost"
2023-05-25 20:38:45,68.17
2023-05-25 20:39:00,94.55
2023-05-25 20:39:15,94.55
2023-05-25 20:39:30,94.55
2023-05-25 20:39:45,94.55
2023-05-25 20:40:00,97.12
2023-05-25 20:40:15,97.12
2023-05-25 20:40:30,97.12
2023-05-25 20:40:45,97.12
2023-05-25 20:41:00,115.54
2023-05-25 20:41:15,115.54
2023-05-25 20:41:30,115.54
2023-05-25 20:41:45,115.54
2023-05-25 20:42:00,126.03
2023-05-25 20:42:15,126.03
2023-05-25 20:42:30,126.03
2023-05-25 20:42:45,126.03
2023-05-25 20:43:00,77.23
2023-05-25 20:43:15,77.23
2023-05-25 20:43:30,77.23
2023-05-25 20:43:45,77.23
2023-05-25 20:44:00,121.77
2023-05-25 20:44:15,121.77
2023-05-25 20:44:30,121.77
2023-05-25 20:44:45,121.77
2023-05-25 20:45:00,119.85
2023-05-25 20:45:15,119.85
2023-05-25 20:45:30,119.85
2023-05-25 20:45:45,119.85
2023-05-25 20:46:00,103.39
2023-05-25 20:46:15,103.39
2023-05-25 20:46:30,103.39
2023-05-25 20:46:45,103.39
2023-05-25 20:47:00,93.32
2023-05-25 20:47:15,93.32
2023-05-25 20:47:30,93.32
2023-05-25 20:47:45,93.32
2023-05-25 20:48:00,127.64
2023-05-25 20:48:15,127.64
2023-05-25 20:48:30,127.64
2023-05-25 20:48:45,127.64

