sep=,
"Time","by-dependencies"
2023-05-25 20:36:00,1826816
2023-05-25 20:36:30,2015232
2023-05-25 20:37:00,2392064
2023-05-25 20:37:30,2416640
2023-05-25 20:38:00,36823040
2023-05-25 20:38:30,36921344
2023-05-25 20:39:00,83406848
2023-05-25 20:39:30,91795456
2023-05-25 20:40:00,118607872
2023-05-25 20:40:30,127127552
2023-05-25 20:41:00,168210432
2023-05-25 20:41:30,176062464
2023-05-25 20:42:00,189554688
2023-05-25 20:42:30,195366912
2023-05-25 20:43:00,208302080
2023-05-25 20:43:30,208302080
2023-05-25 20:44:00,233549824
2023-05-25 20:44:30,234074112
2023-05-25 20:45:00,249843712
2023-05-25 20:45:30,257748992
2023-05-25 20:46:00,273637376

