sep=,
"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-25 20:36:00,10692,-21712
2023-05-25 20:36:30,28012,-48615
2023-05-25 20:37:00,3687338,-4755194
2023-05-25 20:37:30,9697971,-11743307
2023-05-25 20:38:00,10744284,-12666531
2023-05-25 20:38:30,12305946,-14842933
2023-05-25 20:39:00,13174972,-16006766
2023-05-25 20:39:30,11206377,-14017344
2023-05-25 20:40:00,11724440,-14526723
2023-05-25 20:40:30,12181745,-14624098
2023-05-25 20:41:00,11894398,-14747636
2023-05-25 20:41:30,12938684,-15776743
2023-05-25 20:42:00,12217089,-14854057
2023-05-25 20:42:30,10656855,-13159382
2023-05-25 20:43:00,10732477,-13256714
2023-05-25 20:43:30,11727253,-14262414
2023-05-25 20:44:00,10693405,-13176001
2023-05-25 20:44:30,10587090,-13086908
2023-05-25 20:45:00,11262300,-13677706
2023-05-25 20:45:30,9916385,-12367894
2023-05-25 20:46:00,11404802,-13846240

