sep=,
"Time","by-stack"
2023-05-25 20:25:00,1302528
2023-05-25 20:25:30,1339392
2023-05-25 20:26:00,1519616
2023-05-25 20:26:30,7647232
2023-05-25 20:27:00,32227328
2023-05-25 20:27:30,44810240
2023-05-25 20:28:00,77533184
2023-05-25 20:28:30,117829632
2023-05-25 20:29:00,116494336
2023-05-25 20:29:30,134221824
2023-05-25 20:30:00,142954496
2023-05-25 20:30:30,167374848
2023-05-25 20:31:00,183099392
2023-05-25 20:31:30,191488000
2023-05-25 20:32:00,193105920
2023-05-25 20:32:30,194834432
2023-05-25 20:33:00,206454784
2023-05-25 20:33:30,218923008
2023-05-25 20:34:00,224731136
2023-05-25 20:34:30,230539264
2023-05-25 20:35:00,240615424

