sep=,
"Time","by-stack"
2023-05-25 20:25:00,1954115584
2023-05-25 20:25:30,1966002176
2023-05-25 20:26:00,2378555392
2023-05-25 20:26:30,2442387456
2023-05-25 20:27:00,2593722368
2023-05-25 20:27:30,2690805760
2023-05-25 20:28:00,2786455552
2023-05-25 20:28:30,2810433536
2023-05-25 20:29:00,2824806400
2023-05-25 20:29:30,2865991680
2023-05-25 20:30:00,2889547776
2023-05-25 20:30:30,2937573376
2023-05-25 20:31:00,2960584704
2023-05-25 20:31:30,2989142016
2023-05-25 20:32:00,3004452864
2023-05-25 20:32:30,3018452992
2023-05-25 20:33:00,3011366912
2023-05-25 20:33:30,3013955584
2023-05-25 20:34:00,3015045120
2023-05-25 20:34:30,3024277504
2023-05-25 20:35:00,3040186368

