sep=,
"Time","receive - by-stack","transmit - by-stack"
2023-05-25 20:25:00,11157,-18361
2023-05-25 20:25:30,24746,-33870
2023-05-25 20:26:00,4369607,-5500880
2023-05-25 20:26:30,9556792,-11634763
2023-05-25 20:27:00,11463083,-13978891
2023-05-25 20:27:30,13698735,-16677549
2023-05-25 20:28:00,12960555,-15922406
2023-05-25 20:28:30,12765705,-15157711
2023-05-25 20:29:00,13569678,-16652603
2023-05-25 20:29:30,14749217,-17904305
2023-05-25 20:30:00,13634651,-16636565
2023-05-25 20:30:30,12490615,-15198215
2023-05-25 20:31:00,11451795,-13954321
2023-05-25 20:31:30,11314575,-13670481
2023-05-25 20:32:00,11345379,-13726214
2023-05-25 20:32:30,11648799,-14122410
2023-05-25 20:33:00,11424507,-13015557
2023-05-25 20:33:30,10863934,-13293148
2023-05-25 20:34:00,11778796,-14233089
2023-05-25 20:34:30,8868421,-10865480
2023-05-25 20:35:00,11354685,-13705497

