sep=,
"Time","all-in-one"
2023-05-26 08:43:30,3141632
2023-05-26 08:44:00,3141632
2023-05-26 08:44:30,3158016
2023-05-26 08:45:00,21340160
2023-05-26 08:45:30,21700608
2023-05-26 08:46:00,21700608
2023-05-26 08:46:30,54378496
2023-05-26 08:47:00,54378496
2023-05-26 08:47:30,88059904
2023-05-26 08:48:00,88125440
2023-05-26 08:48:30,99176448
2023-05-26 08:49:00,99176448
2023-05-26 08:49:30,99180544
2023-05-26 08:50:00,103374848
2023-05-26 08:50:30,103374848
2023-05-26 08:51:00,103374848
2023-05-26 08:51:30,103374848
2023-05-26 08:52:00,103374848
2023-05-26 08:52:30,103378944
2023-05-26 08:53:00,103575552
2023-05-26 08:53:30,105672704

