sep=,
"Time","receive - all-in-one","transmit - all-in-one"
2023-05-26 08:43:30,9816,-17062
2023-05-26 08:44:00,9126,-16274
2023-05-26 08:44:30,1686681,-2061171
2023-05-26 08:45:00,5989031,-7526470
2023-05-26 08:45:30,9110870,-11516176
2023-05-26 08:46:00,9228701,-12192574
2023-05-26 08:46:30,10826337,-13738831
2023-05-26 08:47:00,9526394,-12412034
2023-05-26 08:47:30,12222757,-15534473
2023-05-26 08:48:00,12958531,-16474027
2023-05-26 08:48:30,13132150,-16687814
2023-05-26 08:49:00,12093034,-15061662
2023-05-26 08:49:30,12230023,-15833322
2023-05-26 08:50:00,12382381,-15943956
2023-05-26 08:50:30,11078386,-13591045
2023-05-26 08:51:00,13264320,-16710309
2023-05-26 08:51:30,13363939,-16972591
2023-05-26 08:52:00,12380411,-15961114
2023-05-26 08:52:30,12903254,-15604929
2023-05-26 08:53:00,13231563,-16784382
2023-05-26 08:53:30,13448019,-17065032

