"Timestamp","User.Count","Type","Name","Requests.s","Failures.s","X50.","X66.","X75.","X80.","X90.","X95.","X98.","X99.","X99.9.","X99.99.","X100.","Total.Request.Count","Total.Failure.Count","Total.Median.Response.Time","Total.Average.Response.Time","Total.Min.Response.Time","Total.Max.Response.Time","Total.Average.Content.Size"
1685101436,0,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1685101437,0,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1685101438,0,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1685101439,1,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1685101440,2,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1685101441,3,"GET","/",0,0,"0","0","0","0","0","0","0","0","0","0","0",3,0,23,23.3333333333333,23,24,8688
1685101441,3,"GET","/basket.html",0,0,"6","6","6","6","6","6","6","6","6","6","6",2,0,6,6,6,6,23020
1685101441,3,"POST","/cart",0,0,"150","150","150","150","150","150","150","150","150","150","150",2,0,150,282.5,150,415,0
1685101441,3,"GET","/category.html",0,0,"6","6","6","6","6","6","6","6","6","6","6",2,0,6,6.5,6,7,11518
1685101441,3,"GET","/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b",0,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,8,8,8,8,10364
1685101441,3,"GET","/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e",0,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,6,6,6,6,10364
1685101441,3,"GET","/login",0,0,"120","120","120","120","120","120","120","120","120","120","120",2,0,120,332,120,544,13
1685101441,3,"","Aggregated",0,0,"23","24","120","150","420","540","540","540","540","540","540",13,0,23,102.923076923077,6,544,8914.92307692308
1685101442,4,"GET","/",0,0,"24","24","24","24","24","24","24","24","24","24","24",3,0,23,23.3333333333333,23,24,8688
1685101442,4,"GET","/basket.html",0,0,"6","6","6","6","6","6","6","6","6","6","6",2,0,6,6,6,6,23020
1685101442,4,"POST","/cart",0,0,"150","150","150","150","150","150","150","150","150","150","150",2,0,150,282.5,150,415,0
