sep=,
"Time","by-dependencies"
2023-05-26 09:05:30,0.0445
2023-05-26 09:06:00,0.202
2023-05-26 09:06:30,1.86
2023-05-26 09:07:00,2.89
2023-05-26 09:07:30,2.78
2023-05-26 09:08:00,3.03
2023-05-26 09:08:30,3.00
2023-05-26 09:09:00,3.37
2023-05-26 09:09:30,3.32
2023-05-26 09:10:00,3.04
2023-05-26 09:10:30,3.01
2023-05-26 09:11:00,2.86
2023-05-26 09:11:30,3.15
2023-05-26 09:12:00,3.17
2023-05-26 09:12:30,2.84
2023-05-26 09:13:00,2.76
2023-05-26 09:13:30,2.97
2023-05-26 09:14:00,3.15
2023-05-26 09:14:30,3.05
2023-05-26 09:15:00,3.14
2023-05-26 09:15:30,2.94

