sep=,
"Time","Total Cost"
2023-05-26 08:56:45,69.01
2023-05-26 08:57:00,111.70
2023-05-26 08:57:15,111.70
2023-05-26 08:57:30,111.70
2023-05-26 08:57:45,111.70
2023-05-26 08:58:00,113.01
2023-05-26 08:58:15,113.01
2023-05-26 08:58:30,113.01
2023-05-26 08:58:45,113.01
2023-05-26 08:59:00,118.90
2023-05-26 08:59:15,118.90
2023-05-26 08:59:30,118.90
2023-05-26 08:59:45,118.90
2023-05-26 09:00:00,107.44
2023-05-26 09:00:15,107.44
2023-05-26 09:00:30,107.44
2023-05-26 09:00:45,107.44
2023-05-26 09:01:00,111.88
2023-05-26 09:01:15,111.88
2023-05-26 09:01:30,111.88
2023-05-26 09:01:45,111.88
2023-05-26 09:02:00,112.35
2023-05-26 09:02:15,112.35
2023-05-26 09:02:30,112.35
2023-05-26 09:02:45,112.35
2023-05-26 09:03:00,111.47
2023-05-26 09:03:15,111.47
2023-05-26 09:03:30,111.47
2023-05-26 09:03:45,111.47
2023-05-26 09:04:00,114.05
2023-05-26 09:04:15,114.05
2023-05-26 09:04:30,114.05
2023-05-26 09:04:45,114.05
2023-05-26 09:05:00,109.91
2023-05-26 09:05:15,109.91
2023-05-26 09:05:30,109.91
2023-05-26 09:05:45,109.91
2023-05-26 09:06:00,105.85
2023-05-26 09:06:15,105.85
2023-05-26 09:06:30,105.85
2023-05-26 09:06:45,105.85

