sep=,
"Time","by-stack"
2023-05-26 08:54:30,0.0465
2023-05-26 08:55:00,0.262
2023-05-26 08:55:30,1.78
2023-05-26 08:56:00,3.41
2023-05-26 08:56:30,3.27
2023-05-26 08:57:00,2.75
2023-05-26 08:57:30,3.20
2023-05-26 08:58:00,3.22
2023-05-26 08:58:30,2.98
2023-05-26 08:59:00,2.96
2023-05-26 08:59:30,2.95
2023-05-26 09:00:00,3.02
2023-05-26 09:00:30,2.92
2023-05-26 09:01:00,3.07
2023-05-26 09:01:30,2.98
2023-05-26 09:02:00,3.03
2023-05-26 09:02:30,3.05
2023-05-26 09:03:00,3.11
2023-05-26 09:03:30,2.80
2023-05-26 09:04:00,3.03
2023-05-26 09:04:30,3.10

