sep=,
"Time","receive - by-stack"
2023-05-26 08:54:30,10969
2023-05-26 08:55:00,38434
2023-05-26 08:55:30,2652734
2023-05-26 08:56:00,8364331
2023-05-26 08:56:30,11290359
2023-05-26 08:57:00,13287139
2023-05-26 08:57:30,12839678
2023-05-26 08:58:00,11039949
2023-05-26 08:58:30,14310028
2023-05-26 08:59:00,14400597
2023-05-26 08:59:30,13801025
2023-05-26 09:00:00,15092595
2023-05-26 09:00:30,14803642
2023-05-26 09:01:00,14617039
2023-05-26 09:01:30,14053867
2023-05-26 09:02:00,14434358
2023-05-26 09:02:30,13621030
2023-05-26 09:03:00,14567717
2023-05-26 09:03:30,15076095
2023-05-26 09:04:00,15097660
2023-05-26 09:04:30,14085978

