"Time","Total Cost"
2023-05-25 22:18:45,70.49
2023-05-25 22:19:00,101.14
2023-05-25 22:19:15,101.14
2023-05-25 22:19:30,101.14
2023-05-25 22:19:45,101.14
2023-05-25 22:20:00,99.84
2023-05-25 22:20:15,99.84
2023-05-25 22:20:30,99.84
2023-05-25 22:20:45,99.84
2023-05-25 22:21:00,127.98
2023-05-25 22:21:15,127.98
2023-05-25 22:21:30,127.98
2023-05-25 22:21:45,127.98
2023-05-25 22:22:00,127.56
2023-05-25 22:22:15,127.56
2023-05-25 22:22:30,127.56
2023-05-25 22:22:45,127.56
2023-05-25 22:23:00,128.81
2023-05-25 22:23:15,128.81
2023-05-25 22:23:30,128.81
2023-05-25 22:23:45,128.81
2023-05-25 22:24:00,116.64
2023-05-25 22:24:15,116.64
2023-05-25 22:24:30,116.64
2023-05-25 22:24:45,116.64
2023-05-25 22:25:00,80.77
2023-05-25 22:25:15,80.77
2023-05-25 22:25:30,80.77
2023-05-25 22:25:45,80.77
2023-05-25 22:26:00,131.78
2023-05-25 22:26:15,131.78
2023-05-25 22:26:30,131.78
2023-05-25 22:26:45,131.78
2023-05-25 22:27:00,133.11
2023-05-25 22:27:15,133.11
2023-05-25 22:27:30,133.11
2023-05-25 22:27:45,133.11
2023-05-25 22:28:00,88.70
2023-05-25 22:28:15,88.70
2023-05-25 22:28:30,88.70
2023-05-25 22:28:45,88.70

