"Time","by-dependencies"
2023-05-25 22:38:00,2012459008
2023-05-25 22:38:30,2206941184
2023-05-25 22:39:00,2556334080
2023-05-25 22:39:30,2702618624
2023-05-25 22:40:00,2766970880
2023-05-25 22:40:30,2848342016
2023-05-25 22:41:00,2894192640
2023-05-25 22:41:30,2944589824
2023-05-25 22:42:00,3020300288
2023-05-25 22:42:30,3087085568
2023-05-25 22:43:00,3097694208
2023-05-25 22:43:30,3210698752
2023-05-25 22:44:00,3193876480
2023-05-25 22:44:30,3674144768
2023-05-25 22:45:00,3774648320
2023-05-25 22:45:30,3783872512
2023-05-25 22:46:00,3831103488
2023-05-25 22:46:30,3893870592
2023-05-25 22:47:00,3856654336
2023-05-25 22:47:30,3861585920
2023-05-25 22:48:00,3269472256

