"Time","by-stack - bystackgo"
2023-05-25 22:38:00,1
2023-05-25 22:38:15,1
2023-05-25 22:38:30,1
2023-05-25 22:38:45,1
2023-05-25 22:39:00,1
2023-05-25 22:39:15,1
2023-05-25 22:39:30,1
2023-05-25 22:39:45,1
2023-05-25 22:40:00,1
2023-05-25 22:40:15,1
2023-05-25 22:40:30,1
2023-05-25 22:40:45,1
2023-05-25 22:41:00,1
2023-05-25 22:41:15,1
2023-05-25 22:41:30,1
2023-05-25 22:41:45,1
2023-05-25 22:42:00,1
2023-05-25 22:42:15,1
2023-05-25 22:42:30,1
2023-05-25 22:42:45,1
2023-05-25 22:43:00,1
2023-05-25 22:43:15,1
2023-05-25 22:43:30,1
2023-05-25 22:43:45,1
2023-05-25 22:44:00,1
2023-05-25 22:44:15,1
2023-05-25 22:44:30,1
2023-05-25 22:44:45,1
2023-05-25 22:45:00,1
2023-05-25 22:45:15,1
2023-05-25 22:45:30,1
2023-05-25 22:45:45,1
2023-05-25 22:46:00,1
2023-05-25 22:46:15,1
2023-05-25 22:46:30,1
2023-05-25 22:46:45,1
2023-05-25 22:47:00,1
2023-05-25 22:47:15,1
2023-05-25 22:47:30,1
2023-05-25 22:47:45,1
2023-05-25 22:48:00,1

