"Time","all-in-one"
2023-05-27 11:13:00,2038472704
2023-05-27 11:13:30,2038513664
2023-05-27 11:14:00,2204450816
2023-05-27 11:14:30,2291458048
2023-05-27 11:15:00,2308501504
2023-05-27 11:15:30,2329755648
2023-05-27 11:16:00,2367270912
2023-05-27 11:16:30,2416078848
2023-05-27 11:17:00,2443366400
2023-05-27 11:17:30,2432118784
2023-05-27 11:18:00,2457677824
2023-05-27 11:18:30,2458935296
2023-05-27 11:19:00,2474778624
2023-05-27 11:19:30,2480451584
2023-05-27 11:20:00,2480226304
2023-05-27 11:20:30,2483752960
2023-05-27 11:21:00,2487685120
2023-05-27 11:21:30,2495324160
2023-05-27 11:22:00,2500018176
2023-05-27 11:22:30,2495516672
2023-05-27 11:23:00,2507493376

