"Time","receive - all-in-one","transmit - all-in-one"
2023-05-27 11:13:00,10100,-18081
2023-05-27 11:13:30,14223,-20772
2023-05-27 11:14:00,2299175,-2816106
2023-05-27 11:14:30,6408928,-8205251
2023-05-27 11:15:00,7449075,-9605440
2023-05-27 11:15:30,9675885,-12649213
2023-05-27 11:16:00,10652279,-13587375
2023-05-27 11:16:30,9724222,-12598807
2023-05-27 11:17:00,12869857,-15863018
2023-05-27 11:17:30,13297112,-16894881
2023-05-27 11:18:00,11802426,-15369588
2023-05-27 11:18:30,13218683,-16786106
2023-05-27 11:19:00,13032383,-16538864
2023-05-27 11:19:30,12322435,-15818870
2023-05-27 11:20:00,13092814,-15923044
2023-05-27 11:20:30,13098032,-16676708
2023-05-27 11:21:00,12137498,-15638668
2023-05-27 11:21:30,12797094,-15725898
2023-05-27 11:22:00,10771088,-14202703
2023-05-27 11:22:30,11629586,-14263514
2023-05-27 11:23:00,12777805,-16216493

