"Time","by-stack"
2023-05-27 11:24:00,2195456
2023-05-27 11:24:30,3203072
2023-05-27 11:25:00,3203072
2023-05-27 11:25:30,16773120
2023-05-27 11:26:00,16793600
2023-05-27 11:26:30,56000512
2023-05-27 11:27:00,56041472
2023-05-27 11:27:30,87543808
2023-05-27 11:28:00,89182208
2023-05-27 11:28:30,123949056
2023-05-27 11:29:00,124080128
2023-05-27 11:29:30,150118400
2023-05-27 11:30:00,150118400
2023-05-27 11:30:30,164388864
2023-05-27 11:31:00,170196992
2023-05-27 11:31:30,170196992
2023-05-27 11:32:00,172294144
2023-05-27 11:32:30,190685184
2023-05-27 11:33:00,190685184
2023-05-27 11:33:30,190771200
2023-05-27 11:34:00,190771200

