"Time","by-dependencies - by-dependencies","by-dependencies - carts","by-dependencies - carts-db","by-dependencies - catalogue","by-dependencies - catalogue-db","by-dependencies - front-end","by-dependencies - orders-db","by-dependencies - queue-master","by-dependencies - rabbitmq","by-dependencies - rabbitmq-exporter","by-dependencies - session-db","by-dependencies - user","by-dependencies - user-db"
2023-05-26 18:34:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:34:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:34:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:35:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:35:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:35:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:36:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:36:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:36:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:36:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:37:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:37:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:37:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:37:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:38:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:38:30,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:38:45,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:39:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:39:15,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26 18:39:30,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-05-26 18:39:45,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-05-26 18:40:00,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-05-26 18:40:15,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-05-26 18:40:30,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-05-26 18:40:45,0,0,0,0,0,1,0,0,0,0,0,1,0
2023-05-26 18:41:00,0,0,0,1,0,1,0,0,0,0,0,1,0
2023-05-26 18:41:15,0,0,0,1,0,2,0,0,0,0,0,1,0
2023-05-26 18:41:30,0,0,0,1,0,2,0,0,0,0,0,1,0
2023-05-26 18:41:45,0,0,0,1,0,2,0,0,0,0,0,1,0
2023-05-26 18:42:00,0,0,0,1,0,2,0,0,0,0,0,1,0
2023-05-26 18:42:15,0,0,0,1,0,3,0,0,0,0,0,1,0
2023-05-26 18:42:30,0,0,0,1,0,3,0,0,0,0,0,1,0
2023-05-26 18:42:45,0,0,0,1,0,3,0,0,0,0,0,1,0
2023-05-26 18:43:00,0,0,0,1,0,3,0,0,0,0,0,1,0
2023-05-26 18:43:15,0,0,0,1,0,3,0,0,0,0,0,1,0
2023-05-26 18:43:30,0,0,0,1,0,3,0,0,0,0,0,1,0
2023-05-26 18:43:45,0,0,0,1,0,3,0,0,0,0,0,1,0
2023-05-26 18:44:00,0,0,0,1,0,4,0,0,0,0,0,1,0
2023-05-26 18:44:15,0,0,0,1,0,4,0,0,0,0,0,1,0

