Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,27399,0,80,101.35588890105478,5,653,8688.0,45.66113946028388,0.0,80,100,120,130,180,240,300,350,470,600,650
GET,/basket.html,26885,0,46,69.08833922261483,5,681,23020.0,44.80454521660396,0.0,46,72,91,110,160,220,280,320,460,550,680
DELETE,/cart,25004,0,4600,4399.015557510798,34,7205,0.0,41.669810250919305,0.0,4600,4800,4900,5000,5300,5500,5800,6000,6500,7000,7200
POST,/cart,26889,26,6200,6063.6484436014725,160,10132,0.06188404180148016,44.81121131966762,0.043329669913769873,6200,6500,6700,6900,7200,7600,7900,8200,9100,10000,10000
GET,/category.html,27158,0,48,66.73352235068856,5,668,11518.0,45.25950675069855,0.0,48,69,87,100,150,200,260,300,440,520,670
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3056,0,41,64.6678664921466,5,492,10364.0,5.092902740633874,0.0,41,65,84,100,160,210,270,310,470,490,490
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3113,0,40,63.581753935110825,5,512,10364.0,5.187894709290985,0.0,40,65,83,98,150,210,280,310,460,510,510
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,2996,0,40,64.70761014686248,5,497,10364.0,4.992911194679021,0.0,40,66,86,100,160,220,270,300,440,500,500
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,2972,0,40,63.0006729475101,5,594,10364.0,4.952914576297079,0.0,40,63,80,95,150,210,270,310,510,590,590
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,2994,0,40,63.71342685370742,5,519,10364.0,4.989578143147193,0.0,40,64,84,100,160,200,260,300,380,520,520
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,2913,0,39,63.163748712667356,5,500,10364.0,4.85458955610814,0.0,39,64,85,99,150,210,280,310,440,500,500
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3006,0,41,62.25482368596141,5,481,10364.0,5.0095764523381625,0.0,41,65,82,96,140,200,270,300,430,480,480
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3048,0,40,67.19816272965879,5,552,10364.0,5.07957053450656,0.0,41,67,90,100,170,220,270,320,470,550,550
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3056,0,41,65.85700261780104,5,492,10364.0,5.092902740633874,0.0,41,67,86,100,160,220,270,300,470,490,490
GET,/login,27164,0,5200,5003.660469739361,44,9159,12.99760712707996,45.26950590529403,0.0,5200,5500,5600,5700,6000,6300,6600,6900,7600,8400,9200
POST,/orders,25214,0,33000,25005.816292535892,221,41592,604.6564210359325,42.01978066176129,0.0,33000,36000,37000,37000,38000,39000,40000,40000,41000,41000,42000
,Aggregated,212867,26,280,4921.598838711496,5,41592,6890.526244086684,354.7483402128635,0.043329669913769873,280,4800,5500,5900,7400,36000,38000,38000,40000,41000,42000
