"Time","by-dependencies - by-dependencies","by-dependencies - carts","by-dependencies - carts-db","by-dependencies - catalogue","by-dependencies - catalogue-db","by-dependencies - front-end","by-dependencies - orders-db","by-dependencies - queue-master","by-dependencies - rabbitmq","by-dependencies - rabbitmq-exporter","by-dependencies - session-db","by-dependencies - user","by-dependencies - user-db"
2023-05-27 15:14:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:14:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:14:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:14:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:15:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:15:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:15:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:15:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:16:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:16:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:16:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:16:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:17:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:17:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:17:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:17:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:18:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:18:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:18:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:18:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:19:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:19:15,1,1,1,1,1,0,1,1,1,1,1,1,1
2023-05-27 15:19:30,1,1,1,1,1,0,1,1,1,1,1,1,1
2023-05-27 15:19:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:20:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:20:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:20:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:20:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-05-27 15:21:00,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:21:15,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:21:30,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:21:45,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:22:00,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:22:15,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:22:30,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:22:45,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:23:00,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:23:15,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:23:30,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:23:45,1,1,1,0,1,0,1,1,1,1,1,1,1
2023-05-27 15:24:00,1,1,1,1,1,0,1,1,1,1,1,1,1

