"Time","by-stack"
2023-05-27 15:03:00,0.0401
2023-05-27 15:03:30,0.142
2023-05-27 15:04:00,2.42
2023-05-27 15:04:30,3.45
2023-05-27 15:05:00,3.50
2023-05-27 15:05:30,3.49
2023-05-27 15:06:00,3.48
2023-05-27 15:06:30,3.16
2023-05-27 15:07:00,3.37
2023-05-27 15:07:30,3.39
2023-05-27 15:08:00,2.48
2023-05-27 15:08:30,2.66
2023-05-27 15:09:00,2.30
2023-05-27 15:09:30,2.86
2023-05-27 15:10:00,2.56
2023-05-27 15:10:30,1.99
2023-05-27 15:11:00,3.28
2023-05-27 15:11:30,2.29
2023-05-27 15:12:00,0.643
2023-05-27 15:12:30,0.288
2023-05-27 15:13:00,0.0652

