"Time","by-stack - bystackgo","by-stack - bystackjvm","by-stack - bystacknode","by-stack - carts-db","by-stack - catalogue-db","by-stack - orders-db","by-stack - rabbitmq","by-stack - rabbitmq-exporter","by-stack - session-db","by-stack - user-db"
2023-05-27 15:03:15,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:03:30,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:03:45,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:04:00,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:04:15,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:04:30,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:04:45,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:05:00,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:05:15,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:05:30,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:05:45,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:06:00,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:06:15,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:06:30,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:06:45,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:07:00,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:07:15,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:07:30,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:07:45,0,0,0,0,0,0,0,0,0,0
2023-05-27 15:08:00,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:08:15,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:08:30,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:08:45,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:09:00,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:09:15,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:09:30,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:09:45,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:10:00,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:10:15,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:10:30,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:10:45,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:11:00,0,0,1,0,0,0,0,0,0,0
2023-05-27 15:11:15,1,0,1,0,0,0,0,0,0,0
2023-05-27 15:11:30,1,0,2,0,0,0,0,0,0,0
2023-05-27 15:11:45,1,0,2,0,0,0,0,0,0,0
2023-05-27 15:12:00,1,0,2,0,0,0,0,0,0,0
2023-05-27 15:12:15,1,0,2,0,0,0,0,0,0,0
2023-05-27 15:12:30,1,0,2,0,0,0,0,0,0,0
2023-05-27 15:12:45,1,0,3,0,0,0,0,0,0,0
2023-05-27 15:13:00,1,0,3,0,0,0,0,0,0,0
2023-05-27 15:13:15,1,0,3,0,0,0,0,0,0,0

