"Time","receive - by-stack","transmit - by-stack"
2023-05-28 09:53:30,11324,-19588
2023-05-28 09:54:00,293150,-303954
2023-05-28 09:54:30,4723189,-5158152
2023-05-28 09:55:00,8669141,-10714775
2023-05-28 09:55:30,10521679,-13029567
2023-05-28 09:56:00,13726088,-16727612
2023-05-28 09:56:30,13599188,-16433976
2023-05-28 09:57:00,12518836,-14861966
2023-05-28 09:57:30,12234410,-15126001
2023-05-28 09:58:00,14031451,-17044973
2023-05-28 09:58:30,12467527,-15308756
2023-05-28 09:59:00,13005250,-15792888
2023-05-28 09:59:30,12327313,-14940962
2023-05-28 10:00:00,12070511,-14554377
2023-05-28 10:00:30,9942107,-11869522
2023-05-28 10:01:00,11121883,-13127735
2023-05-28 10:01:30,10304480,-12705390
2023-05-28 10:02:00,11273278,-13702581
2023-05-28 10:02:30,10717593,-13210564
2023-05-28 10:03:00,11959376,-14442692
2023-05-28 10:03:30,11625971,-13292154

