"Time","all-in-one - allinone","all-in-one - carts-db","all-in-one - catalogue-db","all-in-one - orders-db","all-in-one - rabbitmq","all-in-one - rabbitmq-exporter","all-in-one - session-db","all-in-one - user-db"
2023-05-28 11:22:30,1,1,1,1,1,1,1,1
2023-05-28 11:22:45,1,1,1,1,1,1,1,1
2023-05-28 11:23:00,1,1,1,1,1,1,1,1
2023-05-28 11:23:15,1,1,1,1,1,1,1,1
2023-05-28 11:23:30,1,1,1,1,1,1,1,1
2023-05-28 11:23:45,1,1,1,1,1,1,1,1
2023-05-28 11:24:00,1,1,1,1,1,1,1,1
2023-05-28 11:24:15,1,1,1,1,1,1,1,1
2023-05-28 11:24:30,1,1,1,1,1,1,1,1
2023-05-28 11:24:45,1,1,1,1,1,1,1,1
2023-05-28 11:25:00,1,1,1,1,1,1,1,1
2023-05-28 11:25:15,1,1,1,1,1,1,1,1
2023-05-28 11:25:30,1,1,1,1,1,1,1,1
2023-05-28 11:25:45,1,1,1,1,1,1,1,1
2023-05-28 11:26:00,1,1,1,1,1,1,1,1
2023-05-28 11:26:15,1,1,1,1,1,1,1,1
2023-05-28 11:26:30,1,1,1,1,1,1,1,1
2023-05-28 11:26:45,1,1,1,1,1,1,1,1
2023-05-28 11:27:00,1,1,1,1,1,1,1,1
2023-05-28 11:27:15,1,1,1,1,1,1,1,1
2023-05-28 11:27:30,1,1,1,1,1,1,1,1
2023-05-28 11:27:45,1,1,1,1,1,1,1,1
2023-05-28 11:28:00,1,1,1,1,1,1,1,1
2023-05-28 11:28:15,1,1,1,1,1,1,1,1
2023-05-28 11:28:30,1,1,1,1,1,1,1,1
2023-05-28 11:28:45,1,1,1,1,1,1,1,1
2023-05-28 11:29:00,1,1,1,1,1,1,1,1
2023-05-28 11:29:15,1,1,1,1,1,1,1,1
2023-05-28 11:29:30,1,1,1,1,1,1,1,1
2023-05-28 11:29:45,1,1,1,1,1,1,1,1
2023-05-28 11:30:00,1,1,1,1,1,1,1,1
2023-05-28 11:30:15,1,1,1,1,1,1,1,1
2023-05-28 11:30:30,1,1,1,1,1,1,1,1
2023-05-28 11:30:45,1,1,1,1,1,1,1,1
2023-05-28 11:31:00,1,1,1,1,1,1,1,1
2023-05-28 11:31:15,1,1,1,1,1,1,1,1
2023-05-28 11:31:30,1,1,1,1,1,1,1,1
2023-05-28 11:31:45,1,1,1,1,1,1,1,1
2023-05-28 11:32:00,1,1,1,1,1,1,1,1
2023-05-28 11:32:15,0,1,1,1,1,1,1,1
2023-05-28 11:32:30,0,1,1,1,1,1,1,1

