"Time","Total Cost"
2023-05-28 11:46:45,67.49
2023-05-28 11:47:00,81.91
2023-05-28 11:47:15,81.91
2023-05-28 11:47:30,81.91
2023-05-28 11:47:45,81.91
2023-05-28 11:48:00,71.67
2023-05-28 11:48:15,71.67
2023-05-28 11:48:30,71.67
2023-05-28 11:48:45,71.67
2023-05-28 11:49:00,87.19
2023-05-28 11:49:15,87.19
2023-05-28 11:49:30,87.19
2023-05-28 11:49:45,87.19
2023-05-28 11:50:00,108.07
2023-05-28 11:50:15,108.07
2023-05-28 11:50:30,108.07
2023-05-28 11:50:45,108.07
2023-05-28 11:51:00,93.97
2023-05-28 11:51:15,93.97
2023-05-28 11:51:30,93.97
2023-05-28 11:51:45,93.97
2023-05-28 11:52:00,69.63
2023-05-28 11:52:15,69.63
2023-05-28 11:52:30,69.63
2023-05-28 11:52:45,69.63
2023-05-28 11:53:00,70.42
2023-05-28 11:53:15,70.42
2023-05-28 11:53:30,70.42
2023-05-28 11:53:45,70.42
2023-05-28 11:54:00,72.80
2023-05-28 11:54:15,72.80
2023-05-28 11:54:30,72.80
2023-05-28 11:54:45,72.80
2023-05-28 11:55:00,69.82
2023-05-28 11:55:15,69.82
2023-05-28 11:55:30,69.82
2023-05-28 11:55:45,69.82
2023-05-28 11:56:00,70.00
2023-05-28 11:56:15,70.00
2023-05-28 11:56:30,70.00
2023-05-28 11:56:45,70.00

