"Time","by-dependencies"
2023-05-28 11:44:00,0.0390
2023-05-28 11:44:30,0.980
2023-05-28 11:45:00,2.85
2023-05-28 11:45:30,3.23
2023-05-28 11:46:00,3.43
2023-05-28 11:46:30,3.22
2023-05-28 11:47:00,3.43
2023-05-28 11:47:30,3.06
2023-05-28 11:48:00,3.46
2023-05-28 11:48:30,3.40
2023-05-28 11:49:00,2.65
2023-05-28 11:49:30,2.73
2023-05-28 11:50:00,3.39
2023-05-28 11:50:30,2.35
2023-05-28 11:51:00,1.58
2023-05-28 11:51:30,1.36
2023-05-28 11:52:00,0.840
2023-05-28 11:52:30,0.234
2023-05-28 11:53:00,0.0551
2023-05-28 11:53:30,0.351
2023-05-28 11:54:00,0.491

