"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-28 11:44:00,11227,-21109
2023-05-28 11:44:30,1810480,-2096164
2023-05-28 11:45:00,6590778,-8254508
2023-05-28 11:45:30,10048777,-12193686
2023-05-28 11:46:00,10902144,-13297082
2023-05-28 11:46:30,9976660,-12517727
2023-05-28 11:47:00,11842673,-14466761
2023-05-28 11:47:30,9620564,-12170669
2023-05-28 11:48:00,10913372,-13368861
2023-05-28 11:48:30,10758891,-12794175
2023-05-28 11:49:00,7732991,-9421596
2023-05-28 11:49:30,7313766,-8615572
2023-05-28 11:50:00,10989313,-14076403
2023-05-28 11:50:30,12799374,-16448895
2023-05-28 11:51:00,4217850,-5007848
2023-05-28 11:51:30,6179546,-7869309
2023-05-28 11:52:00,2146263,-3227791
2023-05-28 11:52:30,1794868,-2406881
2023-05-28 11:53:00,16153,-25667
2023-05-28 11:53:30,5299355,-6602248
2023-05-28 11:54:00,2942103,-4250621

