Method,Name,Error,Occurrences
POST,/orders,"""gaierror(-2, 'Name or service not known')""",12
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246', 1, original=timed out)""",10
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",73
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionRefusedError(111, 'Connection refused')""",79
DELETE,/cart,"""RetriesExceeded('http://front-end.by-dependencies/cart', 1, original=timed out)""",1843
DELETE,/cart,"""gaierror(-2, 'Name or service not known')""",6
GET,/basket.html,"""HTTPParseError('Incomplete response.')""",4
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e', 1, original=timed out)""",18
GET,/basket.html,"""ConnectionRefusedError(111, 'Connection refused')""",1782
GET,/login,"""ConnectionRefusedError(111, 'Connection refused')""",1731
POST,/cart,"""gaierror(-2, 'Name or service not known')""",12
GET,/category.html,"""RetriesExceeded('http://front-end.by-dependencies/category.html', 1, original=timed out)""",1170
POST,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",3257
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d', 1, original=timed out)""",21
POST,/orders,"""RetriesExceeded('http://front-end.by-dependencies/orders', 1, original=timed out)""",6047
GET,/,"""ConnectionRefusedError(111, 'Connection refused')""",209
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b', 1, original=timed out)""",13
POST,/cart,"""BadStatusCode('http://front-end.by-dependencies/cart', code=500)""",15
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""ConnectionRefusedError(111, 'Connection refused')""",56
GET,/login,"""gaierror(-2, 'Name or service not known')""",2
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b', 1, original=timed out)""",18
GET,/basket.html,"""gaierror(-2, 'Name or service not known')""",30
DELETE,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",1173
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b', 1, original=timed out)""",9
GET,/category.html,"""HTTPParseError('Incomplete response.')""",4
GET,/login,"""HTTPParseError('Incomplete response.')""",5
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""ConnectionRefusedError(111, 'Connection refused')""",69
GET,/,"""gaierror(-2, 'Name or service not known')""",1
GET,/category.html,"""gaierror(-2, 'Name or service not known')""",6
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""ConnectionRefusedError(111, 'Connection refused')""",74
GET,/,"""RetriesExceeded('http://front-end.by-dependencies/', 1, original=timed out)""",617
POST,/cart,"""RetriesExceeded('http://front-end.by-dependencies/cart', 1, original=timed out)""",233
GET,/category.html,"""ConnectionRefusedError(111, 'Connection refused')""",789
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""gaierror(-2, 'Name or service not known')""",1
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac', 1, original=timed out)""",7
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""ConnectionRefusedError(111, 'Connection refused')""",74
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38', 1, original=timed out)""",13
GET,/basket.html,"""RetriesExceeded('http://front-end.by-dependencies/basket.html', 1, original=timed out)""",269
POST,/orders,"""ConnectionRefusedError(111, 'Connection refused')""",3197
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""ConnectionRefusedError(111, 'Connection refused')""",69
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""ConnectionRefusedError(111, 'Connection refused')""",70
POST,/orders,"""HTTPParseError('Incomplete response.')""",1
GET,/login,"""RetriesExceeded('http://front-end.by-dependencies/login', 1, original=timed out)""",3983
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e', 1, original=timed out)""",15
POST,/orders,"""BadStatusCode('http://front-end.by-dependencies/orders', code=500)""",873
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",72
