"Time","Total Cost"
2023-05-28 11:34:45,68.47
2023-05-28 11:35:00,102.17
2023-05-28 11:35:15,102.17
2023-05-28 11:35:30,102.17
2023-05-28 11:35:45,102.17
2023-05-28 11:36:00,127.24
2023-05-28 11:36:15,127.24
2023-05-28 11:36:30,127.24
2023-05-28 11:36:45,127.24
2023-05-28 11:37:00,127.82
2023-05-28 11:37:15,127.82
2023-05-28 11:37:30,127.82
2023-05-28 11:37:45,127.82
2023-05-28 11:38:00,131.68
2023-05-28 11:38:15,131.68
2023-05-28 11:38:30,131.68
2023-05-28 11:38:45,131.68
2023-05-28 11:39:00,125.00
2023-05-28 11:39:15,125.00
2023-05-28 11:39:30,125.00
2023-05-28 11:39:45,125.00
2023-05-28 11:40:00,118.87
2023-05-28 11:40:15,118.87
2023-05-28 11:40:30,118.87
2023-05-28 11:40:45,118.87
2023-05-28 11:41:00,125.97
2023-05-28 11:41:15,125.97
2023-05-28 11:41:30,125.97
2023-05-28 11:41:45,125.97
2023-05-28 11:42:00,93.75
2023-05-28 11:42:15,93.75
2023-05-28 11:42:30,93.75
2023-05-28 11:42:45,93.75
2023-05-28 11:43:00,77.20
2023-05-28 11:43:15,77.20
2023-05-28 11:43:30,77.20
2023-05-28 11:43:45,77.20
2023-05-28 11:44:00,70.78
2023-05-28 11:44:15,70.78
2023-05-28 11:44:30,70.78
2023-05-28 11:44:45,70.78

