"Time","by-dependencies"
2023-05-29 10:43:30,3747840
2023-05-29 10:44:00,3747840
2023-05-29 10:44:30,3747840
2023-05-29 10:45:00,11055104
2023-05-29 10:45:30,11067392
2023-05-29 10:46:00,48402432
2023-05-29 10:46:30,48422912
2023-05-29 10:47:00,80601088
2023-05-29 10:47:30,80601088
2023-05-29 10:48:00,121139200
2023-05-29 10:48:30,123236352
2023-05-29 10:49:00,171151360
2023-05-29 10:49:30,171151360
2023-05-29 10:50:00,193163264
2023-05-29 10:50:30,193163264
2023-05-29 10:51:00,217939968
2023-05-29 10:51:30,217939968
2023-05-29 10:52:00,223268864
2023-05-29 10:52:30,223268864
2023-05-29 10:53:00,250093568
2023-05-29 10:53:30,250355712

