"Time","receive - all-in-one"
2023-05-28 20:22:30,10777
2023-05-28 20:23:00,22706
2023-05-28 20:23:30,2476435
2023-05-28 20:24:00,6823046
2023-05-28 20:24:30,9544655
2023-05-28 20:25:00,10821697
2023-05-28 20:25:30,12128892
2023-05-28 20:26:00,9916943
2023-05-28 20:26:30,9076943
2023-05-28 20:27:00,9667590
2023-05-28 20:27:30,8813649
2023-05-28 20:28:00,8939970
2023-05-28 20:28:30,9127428
2023-05-28 20:29:00,8741855
2023-05-28 20:29:30,7448424
2023-05-28 20:30:00,8432907
2023-05-28 20:30:30,8182835
2023-05-28 20:31:00,7864039
2023-05-28 20:31:30,7543239
2023-05-28 20:32:00,6432764
2023-05-28 20:32:30,7005297

