"Time","all-in-one - allinone","all-in-one - carts-db","all-in-one - catalogue-db","all-in-one - orders-db","all-in-one - rabbitmq","all-in-one - rabbitmq-exporter","all-in-one - session-db","all-in-one - user-db"
2023-05-28 20:22:45,0,0,0,0,0,0,0,0
2023-05-28 20:23:00,0,0,0,0,0,0,0,0
2023-05-28 20:23:15,0,0,0,0,0,0,0,0
2023-05-28 20:23:30,0,0,0,0,0,0,0,0
2023-05-28 20:23:45,0,0,0,0,0,0,0,0
2023-05-28 20:24:00,0,0,0,0,0,0,0,0
2023-05-28 20:24:15,0,0,0,0,0,0,0,0
2023-05-28 20:24:30,0,0,0,0,0,0,0,0
2023-05-28 20:24:45,0,0,0,0,0,0,0,0
2023-05-28 20:25:00,0,0,0,0,0,0,0,0
2023-05-28 20:25:15,0,0,0,0,0,0,0,0
2023-05-28 20:25:30,0,0,0,0,0,0,0,0
2023-05-28 20:25:45,0,0,0,0,0,0,0,0
2023-05-28 20:26:00,0,0,0,0,0,0,0,0
2023-05-28 20:26:15,0,0,0,0,0,0,0,0
2023-05-28 20:26:30,0,0,0,0,0,0,0,0
2023-05-28 20:26:45,0,0,0,0,0,0,0,0
2023-05-28 20:27:00,0,0,0,0,0,0,0,0
2023-05-28 20:27:15,0,0,0,0,0,0,0,0
2023-05-28 20:27:30,0,0,0,0,0,0,0,0
2023-05-28 20:27:45,0,0,0,0,0,0,0,0
2023-05-28 20:28:00,0,0,0,0,0,0,0,0
2023-05-28 20:28:15,0,0,0,0,0,0,0,0
2023-05-28 20:28:30,0,0,0,0,0,0,0,0
2023-05-28 20:28:45,0,0,0,0,0,0,0,0
2023-05-28 20:29:00,0,0,0,0,0,0,0,0
2023-05-28 20:29:15,0,0,0,0,0,0,0,0
2023-05-28 20:29:30,0,0,0,0,0,0,0,0
2023-05-28 20:29:45,0,0,0,0,0,0,0,0
2023-05-28 20:30:00,0,0,0,0,0,0,0,0
2023-05-28 20:30:15,0,0,0,0,0,0,0,0
2023-05-28 20:30:30,0,0,0,0,0,0,0,0
2023-05-28 20:30:45,0,0,0,0,0,0,0,0
2023-05-28 20:31:00,0,0,0,0,0,0,0,0
2023-05-28 20:31:15,0,0,0,0,0,0,0,0
2023-05-28 20:31:30,0,0,0,0,0,0,0,0
2023-05-28 20:31:45,0,0,0,0,0,0,0,0
2023-05-28 20:32:00,0,0,0,0,0,0,0,0
2023-05-28 20:32:15,0,0,0,0,0,0,0,0
2023-05-28 20:32:30,0,0,0,0,0,0,0,0
2023-05-28 20:32:45,1,0,0,0,0,0,0,0

