Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,27032,37,93,354.8774785439479,6,16285,8676.108316069844,45.05078629737123,0.06166318041590469,93,160,270,450,1400,1700,2000,2200,2700,7700,16000
GET,/basket.html,25576,121,65,322.99976540506725,5,16261,22911.092430403503,42.6242568193832,0.20165526568444506,65,140,250,430,1300,1800,2100,2300,3000,7700,16000
DELETE,/cart,23493,1140,9800,9694.851572808922,9,21692,0.8541267611628995,39.152786419212134,1.8998925857873337,9800,13000,14000,15000,17000,18000,19000,19000,20000,21000,22000
POST,/cart,26104,795,9600,10988.426333129022,10,23609,0.8128256205945449,43.5042070696426,1.3249250927201144,9600,14000,16000,16000,18000,20000,21000,21000,22000,23000,24000
GET,/category.html,26367,129,68,311.926195623317,5,16135,11461.648424166571,43.94251562232862,0.21498784523382986,68,130,250,420,1300,1700,1900,2100,2600,7700,16000
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,2929,4,62,345.26493683851146,5,2830,10349.846363946739,4.881390687518509,0.006666289774692399,62,140,280,470,1600,1800,2100,2200,2700,2800,2800
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,2876,5,55,309.875173852573,5,3328,10345.981919332406,4.793062348003835,0.0083328622183655,55,120,230,360,1300,1800,2100,2300,2600,3300,3300
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,2891,3,55,300.2798339674853,5,4108,10353.245243860256,4.818060934658932,0.0049997173310192995,55,120,220,370,1200,1700,2000,2100,2700,4100,4100
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,2809,6,57,326.6290494838021,5,2949,10341.862584549663,4.681401994277738,0.009999434662038599,57,120,230,420,1500,1800,2100,2200,2600,2900,2900
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,2964,6,57,319.5748987854251,5,3059,10343.02024291498,4.939720723047068,0.009999434662038599,57,130,250,410,1500,1700,2100,2200,2900,3100,3100
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3011,5,56,314.93158419129855,5,2970,10346.789770840252,5.018049627899703,0.0083328622183655,56,130,230,380,1500,1800,2000,2200,2600,3000,3000
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,2894,4,57,313.14996544574984,5,2793,10349.675190048376,4.823060651989951,0.006666289774692399,57,120,240,380,1500,1700,2000,2200,2700,2800,2800
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,2934,10,58,323.76278118609406,5,7135,10328.676209952284,4.889723549736875,0.016665724436731,58,130,240,420,1500,1800,2000,2200,2800,7100,7100
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,2975,5,59,316.43663865546216,5,2958,10346.581512605042,4.958053019927472,0.0083328622183655,59,130,240,420,1400,1700,2100,2300,2800,3000,3000
GET,/login,26860,622,8400,9925.55178704393,34,21659,12.696053611317945,44.764135837059456,1.036608059964668,8400,13000,14000,15000,17000,19000,19000,20000,20000,21000,22000
POST,/orders,25189,15789,60000,42565.56254714359,9,69192,226.99194092659494,41.97929328368171,26.313512313154572,60000,60000,60000,60000,60000,60000,60000,60000,60000,61000,69000
,Aggregated,206904,18681,1800,9124.265838263156,5,69192,6769.881123612883,344.820504885739,31.133239820257177,1800,7100,12000,14000,19000,60000,60000,60000,60000,60000,69000
