"Time","by-stack - bystackgo","by-stack - bystackjvm","by-stack - bystacknode","by-stack - carts-db","by-stack - catalogue-db","by-stack - orders-db","by-stack - rabbitmq","by-stack - rabbitmq-exporter","by-stack - session-db","by-stack - user-db"
2023-05-28 20:33:45,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:34:00,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:34:15,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:34:30,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:34:45,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:35:00,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:35:15,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:35:30,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:35:45,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:36:00,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:36:15,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:36:30,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:36:45,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:37:00,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:37:15,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:37:30,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:37:45,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:38:00,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:38:15,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:38:30,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:38:45,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:39:00,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:39:15,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:39:30,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:39:45,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:40:00,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:40:15,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:40:30,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:40:45,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:41:00,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:41:15,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:41:30,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:41:45,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:42:00,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:42:15,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:42:30,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:42:45,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:43:00,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:43:15,1,1,0,1,1,1,1,1,1,1
2023-05-28 20:43:30,1,1,1,1,1,1,1,1,1,1
2023-05-28 20:43:45,1,1,1,1,1,1,1,1,1,1

