"Time","all-in-one"
2023-05-29 15:09:30,0.0419
2023-05-29 15:10:00,0.717
2023-05-29 15:10:30,3.06
2023-05-29 15:11:00,2.29
2023-05-29 15:11:30,3.46
2023-05-29 15:12:00,3.40
2023-05-29 15:12:30,3.48
2023-05-29 15:13:00,3.09
2023-05-29 15:13:30,3.20
2023-05-29 15:14:00,3.38
2023-05-29 15:14:30,3.36
2023-05-29 15:15:00,3.53
2023-05-29 15:15:30,2.55
2023-05-29 15:16:00,3.32
2023-05-29 15:16:30,3.61
2023-05-29 15:17:00,3.28
2023-05-29 15:17:30,3.59
2023-05-29 15:18:00,3.31
2023-05-29 15:18:30,3.42
2023-05-29 15:19:00,3.63
2023-05-29 15:19:30,3.61

