Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,30959,0,140,164.22206789624988,1,594,8688.0,51.50941938113176,0.0,140,200,240,270,320,350,390,420,480,560,590
GET,/basket.html,30766,0,120,140.91162322043814,1,599,23020.0,51.18830700862107,0.0,120,180,220,250,300,340,380,410,510,570,600
DELETE,/cart,30589,0,270,297.66811598940797,6,2436,0.0,50.89381535092992,0.0,270,370,440,470,540,610,730,860,1400,2100,2400
POST,/cart,30787,3,720,724.7203689869101,22,2997,0.006236398479877871,51.22324669682171,0.0049913840286635635,720,870,950,1000,1200,1300,1600,1800,2300,2800,3000
GET,/category.html,30877,0,110,136.61323962820222,1,587,11518.0,51.37298821768162,0.0,110,170,210,240,280,310,360,380,470,550,590
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3448,0,120,139.87151972157773,0,561,10364.0,5.736764043610656,0.0,120,180,220,240,290,320,370,400,490,560,560
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3317,0,120,138.18872475128128,1,536,10364.0,5.51880694102568,0.0,120,170,210,240,290,320,370,390,460,540,540
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,3427,0,120,139.73650423110593,0,489,10364.0,5.701824355410011,0.0,120,180,220,240,290,330,380,400,480,490,490
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3456,0,120,140.05381944444446,1,469,10364.0,5.750074401020425,0.0,120,180,220,240,290,320,360,380,460,470,470
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3476,0,120,139.01726121979286,0,537,10364.0,5.783350294544849,0.0,120,180,220,250,290,320,380,400,480,540,540
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3368,0,120,141.0478028503563,0,563,10364.0,5.603660469512961,0.0,120,180,220,240,290,330,370,400,490,560,560
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3409,0,120,140.93487826342036,1,494,10364.0,5.67187605123803,0.0,120,180,220,250,290,330,370,400,460,490,490
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3477,0,120,140.67788323267183,0,495,10364.0,5.785014089221071,0.0,120,180,220,250,300,320,370,390,450,500,500
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3481,0,120,139.03303648376902,0,525,10364.0,5.791669267925955,0.0,120,180,220,240,290,320,370,390,440,520,520
GET,/login,30907,0,900,896.7507360792054,37,3335,12.99579383311224,51.42290205796826,0.0,900,1000,1100,1200,1400,1600,1800,2000,2600,3000,3300
POST,/orders,30603,0,1800,1881.1661928569094,96,4913,607.6936574845604,50.91710847639701,0.0,1800,2200,2500,2600,3000,3400,3700,4000,4500,4800,4900
,Aggregated,246347,3,260,546.6093274933326,0,4913,6785.827211210203,409.870827103061,0.0049913840286635635,260,470,780,920,1400,2100,2800,3200,4000,4600,4900
