"Time","all-in-one"
2023-05-29 16:15:00,5373952
2023-05-29 16:15:30,5373952
2023-05-29 16:16:00,9564160
2023-05-29 16:16:30,23117824
2023-05-29 16:17:00,46575616
2023-05-29 16:17:30,50774016
2023-05-29 16:18:00,50774016
2023-05-29 16:18:30,90193920
2023-05-29 16:19:00,116006912
2023-05-29 16:19:30,132325376
2023-05-29 16:20:00,128204800
2023-05-29 16:20:30,129761280
2023-05-29 16:21:00,127733760
2023-05-29 16:21:30,141860864
2023-05-29 16:22:00,146055168
2023-05-29 16:22:30,156057600
2023-05-29 16:23:00,156057600
2023-05-29 16:23:30,174448640
2023-05-29 16:24:00,166060032
2023-05-29 16:24:30,171868160
2023-05-29 16:25:00,171888640

