"Time","by-stack"
2024-02-27 07:53:30,2449076224
2024-02-27 07:54:00,2679783424
2024-02-27 07:54:30,3613462528
2024-02-27 07:55:00,4134678528
2024-02-27 07:55:30,4488708096
2024-02-27 07:56:00,4621160448
2024-02-27 07:56:30,5050265600
2024-02-27 07:57:00,5046808576
2024-02-27 07:57:30,5151244288
2024-02-27 07:58:00,5194354688
2024-02-27 07:58:30,5238562816
2024-02-27 07:59:00,5264662528
2024-02-27 07:59:30,5274796032
2024-02-27 08:00:00,5298999296
2024-02-27 08:00:30,5292003328
2024-02-27 08:01:00,5295276032
2024-02-27 08:01:30,5296726016
2024-02-27 08:02:00,5315649536
2024-02-27 08:02:30,5315244032
2024-02-27 08:03:00,5249445888
2024-02-27 08:03:30,5210619904
