"Time","all-in-one"
2024-02-27 06:45:00,2077302784
2024-02-27 06:45:30,2229669888
2024-02-27 06:46:00,2307112960
2024-02-27 06:46:30,3466350592
2024-02-27 06:47:00,3815813120
2024-02-27 06:47:30,3934543872
2024-02-27 06:48:00,4021538816
2024-02-27 06:48:30,4088369152
2024-02-27 06:49:00,4101033984
2024-02-27 06:49:30,4149944320
2024-02-27 06:50:00,4185915392
2024-02-27 06:50:30,4247519232
2024-02-27 06:51:00,4257980416
2024-02-27 06:51:30,4274479104
2024-02-27 06:52:00,4275167232
2024-02-27 06:52:30,4288573440
2024-02-27 06:53:00,4296302592
2024-02-27 06:53:30,4306116608
2024-02-27 06:54:00,4319813632
2024-02-27 06:54:30,4319887360
2024-02-27 06:55:00,4324024320
