Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,57594,0,120,138.75356808000834,3,387,8688.0,95.82494515632862,0.0,120,170,200,210,240,260,280,290,330,380,390
GET,/basket.html,57486,0,91,108.02141390947361,2,452,23020.0,95.64525466640113,0.0,91,140,170,180,220,240,270,290,340,390,450
DELETE,/cart,57314,0,190,225.68262553651812,10,2984,0.0,95.35908092318328,0.0,190,270,310,330,390,450,630,850,1400,2600,3000
POST,/cart,57489,11,390,430.49414670632643,22,3271,0.01224582093965802,95.65024606889912,0.018301809159280737,390,510,560,600,710,860,1200,1400,2200,3100,3300
GET,/category.html,57544,0,82,98.22490615876546,2,399,11518.0,95.74175511469552,0.0,82,130,150,160,190,220,240,260,310,360,400
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,6387,0,85,103.1139815249726,2,383,10364.0,10.62669591821146,0.0,85,140,160,180,210,230,250,270,310,380,380
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,6347,0,84,102.90310382858043,2,383,10364.0,10.560143884904985,0.0,84,140,170,180,210,230,260,270,320,380,380
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,6340,0,86,102.90015772870663,2,363,10364.0,10.548497279076352,0.0,86,140,160,180,210,230,260,270,320,360,360
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,6469,0,85,103.42958726232803,2,363,10364.0,10.763127586489736,0.0,85,140,160,180,210,230,260,280,330,360,360
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,6390,0,84,101.73990610328639,2,354,10364.0,10.631687320709446,0.0,84,130,160,180,210,230,250,270,320,350,350
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,6410,0,85,103.3811232449298,2,353,10364.0,10.664963337362684,0.0,85,140,170,180,210,230,250,270,320,350,350
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,6491,0,86,102.25604683407795,2,359,10364.0,10.799731204808298,0.0,86,130,160,180,200,230,250,270,320,360,360
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,6354,0,85,102.6768964431854,2,385,10364.0,10.571790490733619,0.0,85,130,170,180,210,230,250,270,330,380,380
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,6337,0,83,100.84409026353164,2,373,10364.0,10.543505876578367,0.0,83,130,160,180,200,220,250,270,320,370,370
GET,/login,57549,0,350,397.7837668769223,12,3127,12.99796694990356,95.75007411885883,0.0,350,480,540,570,650,740,950,1200,1800,2900,3100
POST,/orders,57364,0,750,841.8933477442298,72,4216,608.0014643330312,95.44227096481639,0.0,750,960,1100,1200,1500,1800,2200,2400,3200,4000,4200
,Aggregated,459865,11,180,292.74766942472246,2,4216,6780.927889706762,765.1237699120578,0.018301809159280737,180,260,360,450,660,960,1400,1700,2600,3300,4200
