"Time","by-dependencies"
2024-02-27 07:07:15,6
2024-02-27 07:07:30,6
2024-02-27 07:07:45,7
2024-02-27 07:08:00,9
2024-02-27 07:08:15,9
2024-02-27 07:08:30,9
2024-02-27 07:08:45,9
2024-02-27 07:09:00,9
2024-02-27 07:09:15,9
2024-02-27 07:09:30,11
2024-02-27 07:09:45,11
2024-02-27 07:10:00,11
2024-02-27 07:10:15,11
2024-02-27 07:10:30,11
2024-02-27 07:10:45,11
2024-02-27 07:11:00,11
2024-02-27 07:11:15,11
2024-02-27 07:11:30,12
2024-02-27 07:11:45,12
2024-02-27 07:12:00,12
2024-02-27 07:12:15,12
2024-02-27 07:12:30,12
2024-02-27 07:12:45,12
2024-02-27 07:13:00,12
2024-02-27 07:13:15,12
2024-02-27 07:13:30,12
2024-02-27 07:13:45,12
2024-02-27 07:14:00,12
2024-02-27 07:14:15,13
2024-02-27 07:14:30,14
2024-02-27 07:14:45,14
2024-02-27 07:15:00,14
2024-02-27 07:15:15,14
2024-02-27 07:15:30,14
2024-02-27 07:15:45,14
2024-02-27 07:16:00,14
2024-02-27 07:16:15,14
2024-02-27 07:16:30,14
2024-02-27 07:16:45,14
2024-02-27 07:17:00,14
2024-02-27 07:17:15,14
