"Time","Total Cost"
2024-02-27 06:57:00,69.30
2024-02-27 06:57:15,115.73
2024-02-27 06:57:30,115.73
2024-02-27 06:57:45,115.73
2024-02-27 06:58:00,115.73
2024-02-27 06:58:15,181.06
2024-02-27 06:58:30,181.06
2024-02-27 06:58:45,181.06
2024-02-27 06:59:00,181.06
2024-02-27 06:59:15,158.04
2024-02-27 06:59:30,158.04
2024-02-27 06:59:45,158.04
2024-02-27 07:00:00,158.04
2024-02-27 07:00:15,196.38
2024-02-27 07:00:30,196.38
2024-02-27 07:00:45,196.38
2024-02-27 07:01:00,196.38
2024-02-27 07:01:15,221.45
2024-02-27 07:01:30,221.45
2024-02-27 07:01:45,221.45
2024-02-27 07:02:00,221.45
2024-02-27 07:02:15,222.84
2024-02-27 07:02:30,222.84
2024-02-27 07:02:45,222.84
2024-02-27 07:03:00,222.84
2024-02-27 07:03:15,220.36
2024-02-27 07:03:30,220.36
2024-02-27 07:03:45,220.36
2024-02-27 07:04:00,220.36
2024-02-27 07:04:15,227.41
2024-02-27 07:04:30,227.41
2024-02-27 07:04:45,227.41
2024-02-27 07:05:00,227.41
2024-02-27 07:05:15,229.34
2024-02-27 07:05:30,229.34
2024-02-27 07:05:45,229.34
2024-02-27 07:06:00,229.34
2024-02-27 07:06:15,228.36
2024-02-27 07:06:30,228.36
2024-02-27 07:06:45,228.36
2024-02-27 07:07:00,228.36
