"Time","by-dependencies - by-dependencies","by-dependencies - carts","by-dependencies - carts-db","by-dependencies - catalogue","by-dependencies - catalogue-db","by-dependencies - front-end","by-dependencies - orders-db","by-dependencies - queue-master","by-dependencies - rabbitmq","by-dependencies - rabbitmq-exporter","by-dependencies - session-db","by-dependencies - user","by-dependencies - user-db"
2024-01-23 09:41:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:41:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:41:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:41:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:42:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:42:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:42:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:42:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:43:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:43:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:43:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:43:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:44:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:44:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:44:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:44:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:45:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:45:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:45:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:45:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:46:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:46:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:46:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:46:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:47:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:47:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:47:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:47:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:48:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:48:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:48:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:48:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:49:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:49:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:49:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:49:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:50:00,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:50:15,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:50:30,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:50:45,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-01-23 09:51:00,1,1,1,1,1,1,1,1,1,1,1,1,1
