"Timestamp","User.Count","Type","Name","Requests.s","Failures.s","X50.","X66.","X75.","X80.","X90.","X95.","X98.","X99.","X99.9.","X99.99.","X100.","Total.Request.Count","Total.Failure.Count","Total.Median.Response.Time","Total.Average.Response.Time","Total.Min.Response.Time","Total.Max.Response.Time","Total.Average.Content.Size"
1709009879,0,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1709009880,0,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1709009881,8,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1709009882,16,"","Aggregated",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0
1709009883,24,"GET","/",4,0,"0","0","0","0","0","0","0","0","0","0","0",10,0,13,17.3,11,33,8688
1709009883,24,"GET","/basket.html",0,0,"0","0","0","0","0","0","0","0","0","0","0",2,0,3,7.5,3,12,23020
1709009883,24,"POST","/cart",0,0,"0","0","0","0","0","0","0","0","0","0","0",2,0,262,661,262,1060,0
1709009883,24,"GET","/category.html",4,0,"0","0","0","0","0","0","0","0","0","0","0",10,0,12,12.9,5,23,11518
1709009883,24,"GET","/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b",1,0,"0","0","0","0","0","0","0","0","0","0","0",3,0,37,28.3333333333333,8,40,10364
1709009883,24,"GET","/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d",0.5,0,"0","0","0","0","0","0","0","0","0","0","0",2,0,4,17,4,30,10364
1709009883,24,"GET","/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac",0.5,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,14,14,14,14,10364
1709009883,24,"GET","/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e",1.5,0,"0","0","0","0","0","0","0","0","0","0","0",3,0,9,8,6,9,10364
1709009883,24,"GET","/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246",0.5,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,4,4,4,4,10364
1709009883,24,"GET","/login",4,0,"0","0","0","0","0","0","0","0","0","0","0",10,0,460,501.2,432,689,13
1709009883,24,"","Aggregated",16,0,"14","33","430","440","480","680","1100","1100","1100","1100","1100",44,0,14,154.818181818182,3,1060,7997.04545454545
1709009884,32,"GET","/",4,0,"48","49","49","50","60","60","86","86","86","86","86",35,0,34,35.7428571428571,10,86,8688
1709009884,32,"GET","/basket.html",0,0,"14","24","41","57","58","69","69","69","69","69","69",17,0,12,22.3529411764706,3,69,23020
1709009884,32,"POST","/cart",0,0,"780","790","920","950","970","990","990","990","990","990","990",17,0,780,624.941176470588,102,1060,0
1709009884,32,"GET","/category.html",4,0,"0","0","0","0","0","0","0","0","0","0","0",29,0,16,24.8275862068966,3,169,11518
1709009884,32,"GET","/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b",0,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,38,38,38,38,10364
1709009884,32,"GET","/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b",1,0,"0","0","0","0","0","0","0","0","0","0","0",4,0,16,25.25,8,40,10364
1709009884,32,"GET","/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d",0.5,0,"0","0","0","0","0","0","0","0","0","0","0",6,0,10,21.1666666666667,4,60,10364
1709009884,32,"GET","/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38",0,0,"45","45","45","45","45","45","45","45","45","45","45",4,0,17,22.5,6,45,10364
1709009884,32,"GET","/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b",0,0,"5","5","15","15","15","15","15","15","15","15","15",4,0,5,8.25,3,15,10364
1709009884,32,"GET","/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac",0.5,0,"17","17","36","36","36","36","36","36","36","36","36",4,0,14,18.25,6,36,10364
1709009884,32,"GET","/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e",1.5,0,"21","21","21","21","21","21","21","21","21","21","21",4,0,9,11.25,6,21,10364
1709009884,32,"GET","/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246",0.5,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,4,4,4,4,10364
1709009884,32,"GET","/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e",0,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,60,60,60,60,10364
1709009884,32,"GET","/login",4,0,"0","0","0","0","0","0","0","0","0","0","0",30,0,510,552.066666666667,392,810,13
1709009884,32,"","Aggregated",16,0,"36","60","400","470","690","800","950","990","1100","1100","1100",157,0,36,191.770700636943,3,1060,8473.80891719745
1709009885,40,"GET","/",4,0,"48","49","49","50","60","60","86","86","86","86","86",35,0,34,35.7428571428571,10,86,8688
1709009885,40,"GET","/basket.html",0,0,"14","24","41","57","58","69","69","69","69","69","69",17,0,12,22.3529411764706,3,69,23020
1709009885,40,"POST","/cart",0,0,"780","790","920","950","970","990","990","990","990","990","990",17,0,780,624.941176470588,102,1060,0
1709009885,40,"GET","/category.html",4,0,"17","29","40","58","62","170","170","170","170","170","170",29,0,16,24.8275862068966,3,169,11518
1709009885,40,"GET","/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b",0,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,38,38,38,38,10364
1709009885,40,"GET","/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b",1,0,"16","16","16","16","16","16","16","16","16","16","16",4,0,16,25.25,8,40,10364
1709009885,40,"GET","/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d",0.5,0,"15","15","60","60","60","60","60","60","60","60","60",6,0,10,21.1666666666667,4,60,10364
1709009885,40,"GET","/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38",0,0,"45","45","45","45","45","45","45","45","45","45","45",4,0,17,22.5,6,45,10364
1709009885,40,"GET","/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b",0,0,"5","5","15","15","15","15","15","15","15","15","15",4,0,5,8.25,3,15,10364
1709009885,40,"GET","/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac",0.5,0,"17","17","36","36","36","36","36","36","36","36","36",4,0,14,18.25,6,36,10364
1709009885,40,"GET","/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e",1.5,0,"21","21","21","21","21","21","21","21","21","21","21",4,0,9,11.25,6,21,10364
1709009885,40,"GET","/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246",0.5,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,4,4,4,4,10364
1709009885,40,"GET","/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e",0,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,60,60,60,60,10364
1709009885,40,"GET","/login",4,0,"540","650","720","730","800","810","810","810","810","810","810",30,0,510,552.066666666667,392,810,13
1709009885,40,"","Aggregated",16,0,"36","60","400","470","690","800","950","990","1100","1100","1100",157,0,36,191.770700636943,3,1060,8473.80891719745
1709009886,48,"GET","/",7.2,0,"48","49","50","60","64","100","110","110","110","110","110",43,0,44,40.3255813953488,10,112,8688
1709009886,48,"GET","/basket.html",3.4,0,"20","41","58","69","81","120","120","120","120","120","120",22,0,12,30.1818181818182,3,119,23020
1709009886,48,"DELETE","/cart",0,0,"0","0","0","0","0","0","0","0","0","0","0",5,0,370,374.8,177,760,0
1709009886,48,"POST","/cart",3.4,0,"780","810","840","920","970","990","990","990","990","990","990",22,0,770,632.590909090909,102,1060,0
1709009886,48,"GET","/category.html",5.8,0,"17","31","55","59","62","66","170","170","170","170","170",35,0,16,26.7142857142857,3,169,11518
1709009886,48,"GET","/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b",0.2,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,38,38,38,38,10364
1709009886,48,"GET","/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b",0.8,0,"16","16","100","100","100","100","100","100","100","100","100",6,0,16,34.5,3,103,10364
1709009886,48,"GET","/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d",1.2,0,"10","15","15","60","60","60","60","60","60","60","60",7,0,10,19.5714285714286,4,60,10364
1709009886,48,"GET","/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38",0.8,0,"76","76","100","100","100","100","100","100","100","100","100",6,0,22,45,6,104,10364
1709009886,48,"GET","/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b",0.8,0,"5","5","15","15","15","15","15","15","15","15","15",4,0,5,8.25,3,15,10364
1709009886,48,"GET","/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac",0.8,0,"36","36","120","120","120","120","120","120","120","120","120",5,0,17,38.6,6,120,10364
1709009886,48,"GET","/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e",0.8,0,"21","21","21","21","21","21","21","21","21","21","21",4,0,9,11.25,6,21,10364
1709009886,48,"GET","/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246",0.2,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,4,4,4,4,10364
1709009886,48,"GET","/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e",0.2,0,"0","0","0","0","0","0","0","0","0","0","0",1,0,60,60,60,60,10364
1709009886,48,"GET","/login",6,0,"540","610","680","720","780","800","810","810","810","810","810",36,0,510,538.972222222222,235,810,13
1709009886,48,"POST","/orders",0,0,"0","0","0","0","0","0","0","0","0","0","0",5,0,920,1818.6,814,4074,655.4
1709009886,48,"","Aggregated",31.6,0,"48","120","430","490","760","820","970","1100","4100","4100","4100",203,0,48,239.443349753695,3,4074,8126.30049261084
1709009887,56,"GET","/",7.6,0,"49","60","64","70","100","110","110","120","120","120","120",88,0,48,48.1931818181818,4,123,8688
1709009887,56,"GET","/basket.html",3.4,0,"27","45","58","63","81","98","120","120","120","120","120",47,0,26,34.936170212766,3,119,23020
1709009887,56,"DELETE","/cart",0,0,"400","460","490","560","580","620","620","620","620","620","620",29,0,370,358.206896551724,59,760,0
1709009887,56,"POST","/cart",3.4,0,"600","780","840","920","970","1100","1500","1500","1500","1500","1500",47,0,600,600.127659574468,102,1452,0
1709009887,56,"GET","/category.html",6.2,0,"29","52","58","60","65","71","160","170","170","170","170",76,0,19,33.3684210526316,3,169,11518
1709009887,56,"GET","/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b",0.2,0,"74","74","74","74","77","77","77","77","77","77","77",7,0,73,57.4285714285714,3,77,10364
1709009887,56,"GET","/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b",0.8,0,"31","46","64","73","100","100","100","100","100","100","100",12,0,31,36.8333333333333,3,103,10364
1709009887,56,"GET","/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d",1.2,0,"10","15","60","60","120","120","120","120","120","120","120",10,0,10,26.5,3,115,10364
1709009887,56,"GET","/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38",0.8,0,"73","76","100","120","120","120","120","120","120","120","120",12,0,45,53.5,3,115,10364
